股票代码,股票名称,D-0日期,D-1涨幅,D-1振幅,D-0振幅,D-0/D-1成交额百分比,T+0(低/高),T+1最高价,T+2最高价,T+3最高价,T+4最高价,T+5最高价,T+6最高价
300110,华仁药业,2020-09-03,3.77,10.12,20.08,252.19%,-9%/1%(阳),9%,6%,12%,-8%,-7%,-4%
300111,向日葵,2020-09-08,12.36,20.0,23.8,144.68%,-16%/11%(阴),-17%,-26%,-24%,-21%,-25%,-27%
300115,长盈精密,2024-10-08,17.22,15.69,12.36,158.65%,-13%/-4%(阴),-8%,-12%,-12%,-10%,-13%,-11%
300120,经纬辉开,2026-08-14,9.04,13.28,20.21,187.9%,-7%/5%(阳),3%,-1%,-3%,0%,N/A,N/A
300125,聆达股份,2024-10-08,8.17,16.34,16.37,114.76%,-13%/8%(阳),2%,-5%,-9%,-8%,-15%,-6%
300129,泰胜风能,2020-08-28,10.69,14.46,20.57,266.71%,-10%/1%(阴),0%,5%,-1%,9%,11%,15%
300130,新国都,2024-10-08,19.09,15.32,11.11,143.16%,-8%/10%(阳),1%,-5%,-7%,7%,0%,4%
300138,晨光生物,2025-04-08,-2.62,16.23,7.97,120.53%,-5%/9%(阴),5%,1%,-4%,-6%,-7%,-8%
300141,和顺电气,2026-01-08,10.37,15.52,26.68,103.6%,-8%/0%(阴),9%,21%,17%,5%,13%,10%
300147,*ST香雪,2025-08-19,14.77,11.76,19.13,147.02%,-2%/18%(阳),13%,8%,1%,13%,21%,19%
300149,睿智医药,2024-08-02,1.21,4.6,21.05,247.86%,3%/20%(板),43%,25%,31%,10%,16%,15%
300152,*ST动力,2024-09-26,3.65,6.25,19.6,300.49%,4%/21%(板),43%(板),72%(板),107%(板),108%,56%,71%
300160,秀强股份,2021-06-24,5.61,12.77,13.72,259.27%,0%/20%(阳),8%,0%,1%,-4%,0%,-1%
300161,华中数控,2021-08-23,10.36,13.35,10.96,130.76%,7%/20%(阳),10%,23%,30%,28%,21%,10%
300163,先锋新材,2025-10-28,15.24,16.34,21.15,146.28%,-8%/-1%(阴),5%,8%,1%,-1%,11%,4%
300164,通源石油,2025-06-13,1.44,4.81,4.74,353.07%,6%/20%(板),43%,52%,69%,62%,64%,37%
300173,ST福能,2024-11-08,4.5,7.49,18.65,214.76%,5%/20%(板),26%,22%,12%,22%(板),45%,60%
300178,未找到标的,2021-03-15,8.71,17.98,22.48,143.95%,-6%/8%(阳),10%,5%,4%,7%,2%,3%
300183,东软载波,2021-08-04,-2.77,14.55,22.22,179.37%,-3%/21%(板),44%,35%,35%,21%,21%,15%
300185,通裕重工,2026-03-13,3.54,6.19,17.95,254.63%,-7%/1%(阴),4%,-3%,-5%,-2%,-4%,-5%
300187,永清环保,2020-08-26,4.71,10.99,19.83,150.74%,12%/21%(板),32%,20%,35%,43%,25%,19%
300187,永清环保,2024-08-12,0.72,3.12,5.01,826.75%,-9%/7%(阳),3%,0%,-2%,-8%,-8%,-11%
300189,神农种业,2026-08-18,11.13,13.06,17.92,149.86%,-3%/9%(阴),6%,-2%,N/A,N/A,N/A,N/A
300197,节能铁汉,2024-10-08,16.67,17.28,14.29,201.01%,-11%/0%(阴),-8%,-13%,-6%,-11%,-16%,-17%
300198,*ST纳川,2024-11-07,6.05,16.13,21.67,148.6%,-5%/11%(阴),-2%,-6%,-8%,-10%,-12%,-15%
300211,*ST亿通,2023-05-31,8.15,11.66,19.75,190.46%,-10%/-2%(阴),-12%,-17%,-12%,-14%,-15%,-16%
300215,电科院,2024-05-28,2.89,16.47,17.66,122.52%,-6%/3%(阳),-3%,-10%,-15%,-7%,-8%,-7%
300217,东方电热,2021-11-12,7.45,12.77,21.39,156.83%,-4%/7%(阴),0%,5%,-1%,-3%,1%,0%
300236,上海新阳,2024-10-08,14.44,12.91,8.59,215.88%,-10%/1%(阴),-7%,-12%,-15%,-14%,-14%,-16%
300237,ST美晨,2025-08-13,2.86,7.14,15.74,146.8%,3%/17%(阳),10%,5%,-1%,-3%,0%,-2%
300238,冠昊生物,2025-06-03,8.88,17.13,22.45,183.76%,-9%/-3%(阴),-8%,-9%,-8%,-6%,-7%,-5%
