股票代码,股票名称,D-0日期,D-0涨幅,D-0振幅,D-0最低价,D-0最高价,D-1振幅,D-0/D-1成交额百分比,T+0(低/高),T+1最高价,T+2最高价,T+3最高价,T+4最高价,T+5最高价,T+6最高价
300528,幸福蓝海,2024-07-16,-4.62,6.52,-7.34,-0.82,18.76,132.04%,-3%/0%(阳),4%,6%,1%,1%,3%,1%
300530,领湃科技,2025-05-22,-9.02,9.16,-9.36,-0.20,22.05,111.21%,-1%/7%(阳),8%,22%,19%,9%,15%,20%
300531,优博讯,2024-07-26,-7.82,4.04,-7.91,-3.87,2.85,182.31%,-2%/2%(阳),1%,3%,3%,1%,-2%,-6%
300531,优博讯,2025-04-23,-3.75,11.0,-4.35,+6.65,18.18,245.41%,-4%/0%(阴),5%,14%,5%,4%,10%,16%
300532,今天国际,2021-08-16,0.66,11.02,-0.99,+10.03,14.51,270.32%,-9%/1%(阴),-8%,-4%,-8%,-6%,-2%,-4%
300533,冰川网络,2025-06-25,-1.6,6.37,-2.80,+3.57,19.05,109.94%,-2%/1%(阴),0%,9%,7%,6%,7%,15%
300533,冰川网络,2026-04-22,-2.06,2.78,-4.58,-1.80,13.85,90.17%,1%/5%(阳),4%,-2%,1%,-6%,-9%,-9%
300535,达威股份,2024-10-17,-4.61,14.32,-4.61,+9.71,21.9,267.73%,-3%/6%(阳),6%,1%,1%,0%,0%,1%
300536,农尚环境,2021-08-31,-1.25,10.32,-3.02,+7.30,19.97,101.28%,-3%/3%(阴),5%,12%,13%,14%,12%,15%
300536,农尚环境,2025-06-30,-0.6,9.44,-1.51,+7.93,20.24,197.44%,-3%/3%(阴),-3%,-1%,-3%,-6%,-5%,-5%
300536,农尚环境,2025-08-20,-3.1,5.67,-3.35,+2.32,20.12,103.99%,-3%/2%(阴),1%,-3%,-3%,0%,-7%,-7%
300536,农尚环境,2026-01-12,-5.58,3.69,-6.64,-2.95,18.96,69.66%,-2%/2%(阴),10%,17%,5%,2%,4%,8%
300537,广信材料,2021-05-28,3.24,7.72,+2.73,+10.45,17.83,387.56%,0%/11%(阳),13%,14%,7%,13%,13%,12%
300539,横河精密,2022-06-29,-0.75,17.01,-6.84,+10.16,21.18,154.88%,-7%/5%(阳),-4%,-7%,-10%,-9%,-11%,-11%
300539,横河精密,2022-07-29,-4.72,6.3,-7.22,-0.93,21.11,73.07%,-2%/4%(阴),0%,-2%,-4%,-5%,0%,4%
