股票代码,股票名称,D-0日期,D-2振幅,D-1涨幅,D-1振幅,D-0涨幅,D-0振幅,D-0/D-2成交额百分比,D-0/D-1成交额百分比,T+0(低/高),T+1最高价,T+2最高价,T+3最高价,T+4最高价,T+5最高价,T+6最高价,T+7最高价
002682,龙洲股份,2017-04-10,7.84,0.97,5.96,8.37,5.14,292.06%,225.06%,0%/6%(阳),-1%,-5%,2%,2%,1%,-6%,-10%
002687,乔治白,2015-04-07,6.71,3.36,9.7,6.91,8.62,103.35%,103.11%,-7%/-1%(阴),-4%,-5%,-1%,-2%,-4%,-7%,-7%
002688,金河生物,2019-09-10,9.94,4.26,10.11,9.86,13.78,167.33%,130.25%,-5%/3%(阴),-5%,-8%,-9%,-9%,-9%,-10%,-10%
002691,*ST冀凯,2023-11-27,10.55,-3.89,4.73,5.21,8.97,351.56%,117.84%,-3%/4%(阳),3%,2%,1%,0%,-1%,-1%,1%
002693,双成药业,2022-09-07,10.84,-0.17,11.54,3.06,9.52,211.8%,124.19%,-9%/4%(阴),-11%,-15%,-18%,-18%,-20%,-22%,-23%
002694,*ST顾地,2013-07-23,10.36,5.02,7.8,4.1,7.34,138.29%,123.91%,-2%/1%(阳),0%,0%,-3%,4%,6%,7%,6%
002697,红旗连锁,2016-06-15,11.93,-2.47,4.61,4.55,8.77,109.84%,105.62%,-2%/2%(阴),9%,0%,0%,-4%,-4%,0%,-3%
002700,万憬能源,2026-06-03,10.62,3.52,10.82,3.9,6.8,205.42%,104.77%,-5%/2%(阳),0%,5%,10%,8%,7%,8%,2%
002702,海欣食品,2022-08-31,12.35,-4.65,5.77,6.39,10.76,274.54%,151.82%,-4%/3%(阳),-3%,-4%,-4%,-6%,-7%,-10%,-9%
002703,浙江世宝,2013-11-26,8.43,2.14,5.74,3.73,12.31,281.72%,164.64%,-3%/2%(阳),9%(板),19%,13%,5%,5%,0%,2%
002703,浙江世宝,2017-07-04,10.76,-1.97,5.59,5.4,8.94,114.52%,104.86%,-1%/4%(阳),3%,1%,-1%,-1%,2%,2%,2%
002707,众信旅游,2020-07-07,10.17,7.58,14.69,-1.43,12.33,184.02%,129.08%,-4%/10%(板),21%(板),33%(板),44%,22%,22%,14%,12%
002712,思美传媒,2015-01-28,9.81,2.72,5.33,9.66,11.42,239.0%,174.86%,-3%/1%(阴),0%,-4%,-1%,0%,8%,10%,7%
002717,*ST岭南,2017-04-27,4.65,3.61,6.08,0.32,8.86,214.62%,100.15%,-2%/2%(阴),-2%,-1%,1%,-4%,-7%,-11%,-8%
002718,友邦吊顶,2014-06-25,9.25,2.81,4.79,3.33,6.16,119.73%,113.87%,0%/6%(阳),5%,4%,3%,1%,0%,2%,1%
002722,物产金轮,2015-05-27,12.47,4.84,6.47,5.32,13.44,134.78%,104.35%,-6%/9%(阴),-3%,-3%,5%,4%,0%,-1%,-5%
002725,跃岭股份,2014-10-21,10.86,-0.29,8.18,6.35,10.49,126.53%,106.47%,-3%/1%(阴),-2%,3%,-6%,-5%,1%,-3%,-4%
002733,雄韬股份,2018-08-02,9.46,-3.33,4.44,5.65,10.53,146.96%,138.26%,-3%/1%(阳),-3%,1%,4%,4%,2%,4%,2%
002735,王子新材,2015-05-28,9.71,9.84,5.07,-6.18,17.75,198.95%,195.58%,-10%/5%(阴),-1%,7%,6%,0%,-3%,-5%,-11%
002735,王子新材,2026-06-05,13.12,5.81,8.16,5.32,12.62,183.03%,120.07%,-5%/8%(阳),6%,9%,13%,7%,9%,18%(板),18%
002736,国信证券,2018-01-19,9.68,5.62,8.14,5.71,9.71,194.97%,122.95%,-4%/-1%(阴),-2%,0%,3%,0%,-1%,-2%,-11%
002741,光华科技,2019-12-26,10.09,-2.17,4.42,5.76,10.69,153.22%,125.52%,-3%/-1%(阴),-3%,-4%,-2%,-2%,-1%,0%,-1%
002745,木林森,2015-10-08,12.88,2.95,8.61,1.53,6.58,116.23%,107.57%,-3%/-1%(阴),2%,-2%,1%,2%,4%,0%,-1%
002745,木林森,2026-05-27,9.86,-3.33,7.3,5.16,5.07,128.58%,124.87%,-1%/1%(阴),-1%,-5%,-5%,-2%,-4%,-5%,-9%
002748,世龙实业,2016-09-06,12.31,4.13,8.71,6.03,11.21,171.64%,162.88%,-2%/2%(阳),2%,0%,-1%,-2%,-2%,-1%,-1%
002748,世龙实业,2023-02-10,10.04,-0.32,8.41,2.25,9.24,152.35%,100.7%,-2%/9%(板),9%,5%,5%,-1%,-3%,-2%,-3%
002752,昇兴股份,2020-11-17,11.07,3.04,7.03,-2.64,13.95,229.35%,169.62%,-10%/-3%(阴),4%(板),14%,2%,-2%,0%,-1%,-2%
002753,永东股份,2015-08-05,14.13,3.85,15.63,5.03,14.53,135.04%,110.46%,-8%/-2%(阴),-7%,-5%,-3%,-3%,-9%,-9%,-11%
002756,永兴材料,2024-10-08,8.38,9.3,7.93,3.58,12.4,169.23%,135.43%,-10%/-4%(阴),-10%,-12%,-15%,-15%,-16%,-17%,-15%
002759,ST天际,2023-02-23,10.19,1.0,2.52,5.0,9.79,270.42%,121.3%,-2%/-1%(阳),-1%,-3%,-4%,-4%,-4%,-6%,-3%
