股票代码,股票名称,D-0日期,D-1振幅,D-0振幅,D-0/D-1成交额百分比,T+0(低/高),T+1最高价,T+2最高价,T+3最高价,T+4最高价,T+5最高价,T+6最高价
300977,深圳瑞捷,2024-06-27,23.91,13.26,176.05%,1%/15%(阳),29%,25%,3%,-5%,-9%,-14%
300984,金沃股份,2024-12-04,20.18,21.42,195.13%,-6%/19%(阳),9%,3%,2%,-1%,-3%,4%
300988,津荣天宇,2024-03-26,20.87,19.43,207.09%,-15%/-8%(阴),2%,20%,29%,17%,0%,-12%
301003,江苏博云,2025-02-27,16.8,12.76,440.08%,-11%/-1%(阴),-9%,-13%,-16%,-14%,-15%,-16%
301008,宏昌科技,2026-03-31,5.72,12.6,452.92%,3%/17%(阴),5%,5%,-7%,-12%,-14%,-14%
301013,利和兴,2025-09-18,18.13,10.02,326.49%,-10%/1%(阴),6%,5%,0%,-2%,4%,9%
301017,漱玉平民,2024-09-05,19.05,13.56,214.36%,-9%/8%(阴),-6%,-17%,-24%,-25%,-28%,-31%
301024,霍普股份,2025-05-30,19.34,0.0,90.59%,10%/19%(阳),11%,15%,1%,-4%,0%,-8%
301025,读客文化,2024-03-22,17.31,18.42,356.11%,-12%/-1%(阴),-2%,-6%,3%,0%,11%,3%
301027,华蓝集团,2022-02-08,19.35,15.98,213.95%,3%/17%(阴),12%,9%,13%,17%,29%(板),24%
301036,双乐股份,2024-10-08,19.07,6.55,95.07%,-7%/19%(阳),16%,8%,8%,17%,18%,14%
301041,金百泽,2023-05-26,0.0,0.0,23.47%,14%/19%(板),43%(板),43%,16%,10%,12%,10%
301049,超越科技,2024-03-15,18.37,24.78,101.74%,10%/19%(板),43%,50%,42%,31%,20%,19%
301066,万事利,2024-11-28,25.69,9.99,190.82%,5%/20%(板),44%(板),43%,22%,9%,8%,2%
301070,开勒股份,2024-10-08,16.43,14.25,233.11%,-10%/6%(阴),2%,-3%,-19%,-6%,-14%,-9%
301076,新瀚新材,2023-12-19,11.78,16.89,191.95%,5%/19%(阴),13%,19%,11%,17%,15%,15%
301076,新瀚新材,2025-08-06,18.64,13.62,94.08%,0%/12%(阳),7%,15%,13%,17%,23%,32%
